source,text,ref,new
מנחת חינוך שם:,"['דינים אלו מבוארים בר""מ הלכות קריאת שמע ובטור ושו""ע או""ח בהלכות ק""ש באריכות, וכבר ידעת דדבר הנוהג והאריכו הראשונים ואחרונים אין דרכי להאריך. ויש הרבה שיטות בזה, דיש סוברים דפרשה ראשונה הוא מן התורה ויש סוברים דשני הפרשיות הן מן התורה, ויש סוברים דפסוק ראשון הוא מן התורה ויש סוברים דקריאת שמע מדרבנן, ודעת הרבה אף דסוברים קריאת שמע דרבנן, היינו דפרשיות אלו הם מדרבנן, אבל מן התורה צריך לקרות איזה פרשה בבוקר ובערב ויוצאין, רק דחז""ל תיקנו פרשיות אלו, עיין בראשונים ובספר פרי חדש ובספר שו""ת שאגת אריה דהאריכו בזה הרבה, דבש מצאת וכו\', ואין להאריך במקום שהאריכו בו הראשונים והאחרונים.']",,Minchat Chinuch 420
"ברכות יג ע""א:","[""מתני'. היה קורא בתורה והגיע זמן המקרא, אם כוון לבו – יצא [...]"", ""גמ'. שמע מינה: מצות צריכות כוונה! מאי אם כוון לבו - לקרות. לקרות? והא קא קרי! בקורא להגיה.""]",Berakhot 13a,
"שם ע""א–ע""ב:","['יכול תהא כל הפרשה צריכה כוונה? תלמוד לומר: האלה - עד כאן צריכה כוונה, מכאן ואילך אין צריכה כוונה, דברי רבי אליעזר, אמר ליה רבי עקיבא: הרי הוא אומר אשר אנכי מצוך היום על לבבך - מכאן אתה למד שכל הפרשה כולה צריכה כוונה. אמר רבה בר בר חנה אמר רבי יוחנן: הלכה כרבי עקיבא. איכא דמתני לה אהא, דתניא: הקורא את שמע צריך שיכוין את לבו; רבי אחא משום רבי יהודה אומר: כיון שכוון לבו בפרק ראשון - שוב אינו צריך. אמר רבה בר בר חנה אמר רבי יוחנן: הלכה כרבי אחא שאמר משום רבי יהודה.', 'תניא אידך: והיו - שלא יקרא למפרע, על לבבך - רב זוטרא אומר: עד כאן - מצות כוונה, מכאן ואילך - מצות קריאה; רבי יאשיה אומר: עד כאן - מצות קריאה, מכאן ואילך - מצות כוונה. מאי שנא מכאן ואילך מצות קריאה - דכתיב לדבר בם, הכא נמי הא כתיב ודברת בם! הכי קאמר: עד כאן - מצות כוונה וקריאה, מכאן ואילך - קריאה בלא כוונה. ומאי שנא עד כאן מצות כוונה וקריאה - דכתיב על לבבך, ודברת בם, התם נמי הא כתיב על לבבכם, לדבר בם! ההוא מבעי ליה לכדרבי יצחק, דאמר: ושמתם את דברי אלה - צריכה שתהא שימה כנגד הלב. אמר מר, רבי יאשיה אומר: עד כאן - מצות קריאה, מכאן ואילך - מצות כוונה. מאי שנא מכאן ואילך מצות כוונה - משום דכתיב על לבבכם - הכא נמי הא כתיב על לבבך! הכי קאמר: עד כאן - מצות קריאה וכוונה, מכאן ואילך - כוונה בלא קריאה. ומאי שנא עד כאן מצות קריאה וכוונה - דכתיב על לבבך ודברת בם - התם נמי הא כתיב על לבבכם לדבר בם! ההוא בדברי תורה כתיב, והכי קאמר רחמנא: אגמירו בנייכו תורה כי היכי דליגרסו בהו.', ""תנו רבנן: שמע ישראל ה' אלהינו ה' אחד - עד כאן צריכה כוונת הלב, דברי רבי מאיר. אמר רבא: הלכה כרבי מאיר.""]",,
"חידושי הרשב""א שם ד""ה 'שמע':","['ואפשר לי לומר עוד דפסוק ראשון צריך כוונה ואפילו בדיעבד ואין דבר זה תלוי באידך דמצות צריכות כוונה דהתם בכוונה לצאת הדברים אמורים אבל כאן צריך כוונת הענין כלומר שלא יהרהר בדברים אחרים כדי שיקבל עליו מלכות שמים בהסכמת הלב, וכענין שאמרו ג""כ בברכה ראשונה של תפלה בשלהי פ\' אין עומדין (לד ע""ב), והטעם שבשאר מצות שהן מצות עשה כל שעשה מצותו אף על פי שלא נתכוין לה הרי קיים מצותו אלא שאין זה מן המובחר, וכ""ש שיצא אם כיון לצאת אף על פי שהרהר באמצע המצוה, אבל אלו שהן קבלת מלכות שמים או סדור שבחים אינו בדין שיהא לבבו פונה לדברים אחרים, וזו היא שחלקו בין ברכה ראשונה לשאר הברכות או בין פסוק ראשון לשאר שאם הדברים תלוין במצות צריכות כונה או אין צריכות מה לי ברכה ראשונה מה לי שאר הברכות, וזה נראה יותר וזה דרך האמת.']",,
"מלחמת ה' לרמב""ן, ראש השנה ז ע""א (מדפי הרי""ף) ד""ה 'ועוד לפום סוגיא':","['ולפי הנראה יש ראיה דמצות צריכות כוונה מדקי""ל גבי ק""ש דבפסוק ראשון צריכה כוונה כדפסק רבה בדוכתא ואילו למ""ד מצות אין צריכות כוונה אפי\' פסוק ראשון נמי לא בעי כוונה ממאי מדאקשינן ממתני\' דהיה קורא מאי לאו אם כוון לבו לצאת וש""מ מצות צריכות כוונה ומאי קושיא לימא מאי כוון לבו בפסוק ראשון או בפרק ראשון אלא ש""מ למ""ד מצות אינן צריכות כוונה אף פסוק ראשון אינו צריך כוונה כמגילה ושופר ושאר כל המצות כק""ש ותנאי היא ועיקר קושיין מסתם מתני\' והוה מצינן למימר הא נמי חד מהנהו תנאי היא א""נ רב אחא היא דאמר כולה צריכה כוונת הלב הלכך מדקי""ל בפסוק ראשון צריך כוונת הלב ש""מ מצות צריכות כוונה ואם תשאל כיון דמצות צריכות כוונה כולה נמי ליבעי כוונה זו אינה שאלה שעיקר ק""ש פסוק ראשון ובו יוצא ידי חובתו כדאמרי\' עלה התם שמע ישראל ה\' אלהינו ה\' אחד זו היא ק""ש של ר""י הנשיא ואיתמר נמי התם אמר שמע ישראל ה\' אלהינו ה\' אחד ונאנס יצא אלמא אף מצות קריאה בדיעבד ליתא אלא בפסוק ראשון ומש""ה צריך כוונת הלב כשאר כל המצות שצריכות כוונה ומאן דמפרש תרי גווני בכוונה לא צהיר לפום גמרא ולא חוור.']",,
"שולחן ערוך או""ח סג, ד:","['עיקר הכוונה הוא בפסוק ראשון, הלכך אם קרא ולא כוון לבו בפסוק ראשון, לא יצא י""ח וחוזר וקורא. ואפי\' למ""ד מצות אינן צריכות כוונה, מודה הכא.']","Shulchan Arukh, Orach Chayim 63:4",
"ביאור הלכה שם ד""ה 'וחוזר וקורא':","['וחוזר וקורא – עיין בפרי מגדים דמסתפק אם הוא מדאורייתא או מדרבנן.', '<small>[פרי מגדים משבצות זהב: וי""ל אם מן התורה חוזר וקורא כי בעינן כוונת הלב מן התורה, או מדרבנן, ונפקא מינה בספק לו אם כיון לבו או לאו. והברכות וודאי אין חוזר ואומרם, דמה שייאטיה דברכות לכאן, ועיין אליה רבה אות ז, ולא הבינותיו כעת. וממגן אברהם קא, א משמע דבקריאת שמע כוונה ג""כ דרבנן, ועיין אליה רבה כאן אות ז, וצ""ע.]</small>']",,
"ברכות טו ע""א, במשנה (פ""ב מ""ג):",['הקורא את שמע ולא השמיע לאזנו - יצא; רבי יוסי אומר: לא יצא.'],Berakhot 15a,
"שם כ ע""ב:","[""מתני'. בעל קרי מהרהר בלבו ואינו מברך לא לפניה ולא לאחריה; ועל המזון מברך לאחריו ואינו מברך לפניו. רבי יהודה אומר: מברך לפניהם ולאחריהם."", ""גמ'. אמר רבינא, זאת אומרת: הרהור כדבור דמי. דאי סלקא דעתך לאו כדבור דמי, למה מהרהר? - אלא מאי הרהור כדבור דמי, יוציא בשפתיו! - כדאשכחן בסיני. ורב חסדא אמר: הרהור לאו כדבור דמי. דאי סלקא דעתך הרהור כדבור דמי - יוציא בשפתיו! - אלא מאי - הרהור לאו כדבור דמי, למה מהרהר? - אמר רבי אלעזר: כדי שלא יהו כל העולם עוסקין בו והוא יושב ובטל. - ונגרוס בפרקא אחרינא ! - אמר רב אדא בר אהבה: בדבר שהצבור עוסקין בו.""]",Berakhot 20b,
"שולחן ערוך או""ח סב, ג–ד:","['צריך להשמיע לאזנו מה שמוציא בפיו, ואם לא השמיע לאזנו, יצא ובלבד שיוציא בשפתיו.', 'אם מחמת חולי או אונס אחר קרא ק""ש בלבו, יצא. הגה: ואף לכתחלה יעשה כן אם הוא במקום שאינו נקי לגמרי ואינו יכול לנקותו משום אונס, יהרהר בלבו. ובלבד שלא יהא מקום מטונף לגמרי דאסור להרהר בדברי תורה במקום הטנופת (ב""י סי\' כה).']","Shulchan Arukh, Orach Chayim 62:3-4",
"ביאור הלכה שם ד""ה 'יצא':","['רצה לצדד ולומר דהמחבר פוסק כמ""ד מדאוריי\' הרהור כדיבור דמי בב""י בסימן זה ובסימן פה ובסימן קפה לא משמע כן וכן מוכח מביאור הגר""א דהמחבר בעצמו סובר הרהור לאו כדיבור דמי ובאמת בעיקר הדין אי הרהור כדבור דמי או לא אין ראוי להסתפק בזה אחרי דדעת רוב הראשונים וכמעט כולם נוטים דלאו כדיבור דמי הלא המה הר""ח והאשכול והרבינו יונה והרא""ש והאור זרוע והראב""ד והמרדכי והטור והרבינו ירוחם והשו""ע כלם פסקו דהרהור לאו כדיבור דמי וכן מוכח ג""כ דעת רש""י בברכות דף טו ע""ב בד""ה \'בלבו\' שלא השמיע לאזנו משמע אבל בהרהור לא וכדפירש הרא""ש ורבינו יונה ושאר הראשונים בברייתא זו וכן המאור בפרק מי שמתו מפרש לברייתא זו כן [רק שראיתי חידוש בדבריו דמשמע מניה קצת שם דהוא פוסק כרב חסדא רק משום דהוא ספיקא דאורייתא א""כ לדידיה בשאר ברכות אם ברך ע""י הרהור יוצא בדיעבד ומשאר פוסקים דכתבו סתמא דהלכה כר""ח מכח ההיא סוגיא דשבת קנ לא משמע כן גם הוא בעצמו כתב שם לבסוף דרב חסדא עדיפא מכח ההיא סוגיא משמע דלא ברירא ליה דעתו בזה גם מטור ושו""ע לקמן בסימן רו משמע דה""ה בשאר ברכות דרבנן] וכן הא""ר כתב דכל הפוסקים שראה כולם סוברים דהרהור לאו כדיבור דמי לבד מהרמב""ם והסמ""ג שסוברין דברכות אפילו בהמ""ז שהוא דאורייתא הרהור כדיבור דמי בדיעבד וריא""ז מפריז על המדה דאפילו בק""ש הרהור כדבור דמי.']",,
"שולחן ערוך או""ח מז, ד:","['המהרהר בדברי תורה, אינו צריך לברך. הגה: וה""ה דיכול לפסוק דין בלא נתינת טעם לדבריו (ר""ן פ""ק דשבת ופ\' כל הצלמים כתב דהוי כהרהור).']","Shulchan Arukh, Orach Chayim 47:4",
"ביאור הלכה שם ד""ה 'המהרהר':","['עיין בביאור הגר""א שמקשה ע""ז דהלא הרהור בתורה הוא ג""כ מצוה כדכתיב והגית בו יומם ולילה ובנשמת אדם רוצה לדחות הקושיא ועיין בבנין עולם שמשיג על הנ""א ומסכים להגר""א. אמנם מה דמשמע שם מיניה דלהגר""א הרהור בתורה הוא כדבור ממש ומחמת זה כתב שם דמה שכתב הרמ""א בסימן סח דמי שלומד ע""י הרהור וכו\' לית ביה איסורא וכו\' הוא אזיל לשיטתו בכאן דמסכים בהג""ה להמחבר דאפילו בתורה הרהור לאו כדיבור דמי משא""כ לשיטת הגר""א יהיה איסורא אפילו ע""י הרהור דחשיב הפסק בברכות ק""ש ולענ""ד לא כיון יפה דגם הגר""א מודה דאפילו בתורה הרהור לאו כדיבור אלא דס""ל דגם ההרהור הוא מצוה כדכתיב והגית בו יומם ולילה וכ""מ לשונו להמעיין בו היטב.']",,
"פני יהושע ברכות יג ע""ב ד""ה 'בגמ' עד רבי יאשיה':","['בגמרא עד רבי יאשיה אמר עד כאן מצות קריאה. ופרש""י עד כאן היינו פרק ראשון. מה שהוצרך רש""י לפרש כן בדברי רבי יאשיה טפי מדמר זוטרא היינו משום דדברי רבי יאשיה על כרחך אי אפשר לפרש בענין אחר דבין למאי דס""ד מעיקרא בין למסקנא מכאן ואילך על כרחך אפרשה שניה קאי דכתיב על לבבכם לדבר בם משא""כ במילתא דמר זוטרא נהי למאי דס""ד מעיקרא נמי על כרחך אפרשה ראשונה קאי משום ודברת בם מכל מקום למסקנא דמסיק עד כאן מצות כוונה וקריאה שפיר מצינו למימר דעד כאן היינו שני פסוקים דפרשה ראשונה ממש והיינו כדברי ר""א בברייתא לעיל וכפי\' התוס\' לפי שהם תלוים בייחודו באהבתו וביראתו, מיהו בענין הך כוונה דרבי יאשיה לא ידענא מה טיבו כיון שאינו תלוי בייחוד השם, ואפשר דסבירא ליה כיון דבדברי תורה כתיב הרהור כדיבור דמי כמו שאפרש לקמן בעזרת האל או שענינה שלא יסיח דעתו תמיד מתורה ולהגות בה כפי יכולתו וללמדו עם בניו לכשיגיעו לכלל הזה.']",,
"ברכות טו ע""א, במשנה (פ""ב מ""ג):","['קרא ולא דקדק באותיותיה, רבי יוסי אומר: יצא, רבי יהודה אומר: לא יצא.']",Berakhot 15a,
"בית יוסף או""ח סא, כב:","['וה""ר דוד קמחי כתב שבכל עת שיקרא אדם בתורה נביאים וכתובים צריך ליזהר אבל הזהירו בק""ש והוא הדין לכל קריאה. ומה שהזהירו בק""ש הוא לשתי עילות, האחת מפני שיש באותם הפרשיות יחוד השם וקבלת עול מלכות שמים, והאחרת שכל ישראל קוראים אותם פעמים ביום, חכמים ועמי הארץ, לפיכך היו צריכים להזהיר עליהם מפני עמי הארץ שאינם בקיאים בקריאה, עכ""ל.']","Beit Yosef, Orach Chayim 61:22",
"שם סא, כד:","['כד כתב ה""ר יונה שצריך לקרותה בטעמיה וכו\'. בפרק היה קורא (ח ע""ב ד""ה \'אומרים\') כתב: ולא היו מפסיקין כלומר שלא היו קורים אותה בנחת עם הטעמים שלה כמו שאנו נוהגים היום שמצות ק""ש הוא לקרותה עם הטעמים שלה ע""כ וסובר רבינו דבטעמים הכתובים בתורה קאמר ואפשר דלא בעי שיקראנה בטעמים הכתובים בתורה ומה שאמר צריך שיקראנה בטעמים היינו לומר שיפסוק במקום שראוי לפסוק כדי שיהא טעם והבנה לדבריו והכי דייק מה שכתב שלא היו קורין אותה בנחת עם הטעמים שלה שכשאין אדם קורא בנחת לפעמים משתנה הבנת דבריו ועוד יש לדייק כן ממה שכתב כמו שאנו נוהגים היום ולא ראינו ולא שמענו שום מקום שנוהגים לקרותה בטעמיה הכתובים בתורה אלא שעכשיו מקרוב נהגו קצת חזנים לקרותה בטעמיה הכתובים בתורה וכן ראוי לנהוג מאחר שרבינו מפרש כן.']",,
"ב""ח או""ח ע, א:","['נשים ועבדים פטורין מק""ש. משנה פרק מי שמתו (דף כ ע""א) ומפרש בגמרא ק""ש פשיטא מצות עשה שהזמן גרמא היא וכל מצות עשה שהזמן גרמא נשים פטורות מהו דתימא הואיל ואית בה מלכות שמים קמ""ל פירוש הואיל ועל כל פנים נשים ועבדים חייבים לקבל עליהם יחוד מלכות שמים שכתוב בפסוק ראשון ליתחייבו נמי בקריאת כל שלשה פרשיות קמ""ל. שמעינן דאע""פ דפטורים מקריאת כל השלשה פרשיות מכל מקום חייבים הם בקבלת יחוד השם עליהם ולקרות פסוק ראשון וכן כתב ב""י בשם ספר אהל מועד ומסוגיא זו למד כך והכי נקטינן וכך יש להורות לנשים.']","Bach, Orach Chayim 70:1",
"שם ד, ט–י:","[""רַק הִשָּׁמֶר לְךָ וּשְׁמֹר נַפְשְׁךָ מְאֹד פֶּן תִּשְׁכַּח אֶת הַדְּבָרִים אֲשֶׁר רָאוּ עֵינֶיךָ וּפֶן יָסוּרוּ מִלְּבָבְךָ כֹּל יְמֵי חַיֶּיךָ וְהוֹדַעְתָּם לְבָנֶיךָ וְלִבְנֵי בָנֶיךָ: יוֹם אֲשֶׁר עָמַדְתָּ לִפְנֵי ה' אֱלֹהֶיךָ בְּחֹרֵב בֶּאֱמֹר ה' אֵלַי הַקְהֶל לִי אֶת הָעָם וְאַשְׁמִעֵם אֶת דְּבָרָי אֲשֶׁר יִלְמְדוּן לְיִרְאָה אֹתִי כָּל הַיָּמִים אֲשֶׁר הֵם חַיִּים עַל הָאֲדָמָה וְאֶת בְּנֵיהֶם יְלַמֵּדוּן:""]",,Deuteronomy 4:9-10
"שם יז, יח–כ:","[""וְהָיָה כְשִׁבְתּוֹ עַל כִּסֵּא מַמְלַכְתּוֹ וְכָתַב לוֹ אֶת מִשְׁנֵה הַתּוֹרָה הַזֹּאת עַל סֵפֶר מִלִּפְנֵי הַכֹּהֲנִים הַלְוִיִּם: וְהָיְתָה עִמּוֹ וְקָרָא בוֹ כָּל יְמֵי חַיָּיו לְמַעַן יִלְמַד לְיִרְאָה אֶת ה' אֱלֹהָיו לִשְׁמֹר אֶת כָּל דִּבְרֵי הַתּוֹרָה הַזֹּאת וְאֶת הַחֻקִּים הָאֵלֶּה לַעֲשֹׂתָם: לְבִלְתִּי רוּם לְבָבוֹ מֵאֶחָיו וּלְבִלְתִּי סוּר מִן הַמִּצְוָה יָמִין וּשְׂמֹאול לְמַעַן יַאֲרִיךְ יָמִים עַל""]",,Deuteronomy 17:18-20
